gender,name,year,count,cnt_prev,share,share_prev,share_next,yoy,spike
female,서은,2022,498.0,577.0,39.63863573048912,44.04512908199875,49.72286315144188,0.8989345661462428,0.7963905072103699
female,서이,2022,166.0,152.0,13.212878576829704,11.602876291965007,15.66610756826251,1.1338727234185402,0.8407220757073535
female,서인,2022,118.0,141.0,9.39228718111991,10.763194455046488,11.664438787238934,0.8685950502570084,0.8017701361290437
female,서진,2022,231.0,308.0,18.386596091853384,23.51109143371857,15.410681901388665,0.780379641731711,0.780379641731711
female,서하,2022,825.0,1064.0,65.66641461376209,81.22013404375507,65.81468016449413,0.8080018002481443,0.8080018002481443
female,서현,2022,683.0,849.0,54.36383173478728,64.80817086762033,55.001660266834676,0.838195573627066,0.838195573627066
female,서희,2022,205.0,211.0,16.317109085843914,16.10662432634616,13.878127900145591,1.0099330625170293,1.0099330625170293
female,선우,2022,99.0,125.0,7.8799697536514515,9.541839055892277,7.577628117257409,0.8215285627432184,0.8215285627432184
female,설,2022,274.0,246.0,21.809209217176743,18.778339261996,24.0951545750994,1.1583182623651502,0.9032540731658149
female,설아,2022,458.0,395.0,36.45480956739762,30.152211416619593,41.63438370043678,1.207024514348554,0.8745435659881338
female,설하,2022,102.0,93.0,8.118756715883313,7.099128257583853,7.918195673089204,1.1356289079400512,1.0188952491845293
female,세린,2022,187.0,192.0,14.884387312452741,14.656264789850537,15.410681901388665,1.0121120165553616,0.9627251506361979
female,세빈,2022,99.0,102.0,7.8799697536514515,7.7861406696080975,7.407344339341512,1.0055931977093446,1.0055931977093446
female,세아,2022,672.0,650.0,53.48827953993712,49.61756309063984,49.041728039778285,1.0769257884129475,1.0769257884129475
female,세연,2022,144.0,153.0,11.461774187129382,11.679211004412148,12.941567121608161,0.9771990786778271,0.882247236214147
female,세은,2022,241.0,253.0,19.18255263262626,19.312682249125967,18.986641237622496,0.9906970731543229,0.9906970731543229
female,세인,2022,117.0,120.0,9.312691527042624,9.160165493656585,9.19532400745843,1.0111318339997963,1.0072866585886926
female,소담,2022,198.0,266.0,15.759939507302903,20.305033510938767,11.83472256515483,0.7742526927717183,0.7742526927717183
female,소미,2022,201.0,191.0,15.998726469534763,14.579930077403398,15.836391346178408,1.0935613762259557,1.007071154229332
female,소민,2022,345.0,428.0,27.460500656664145,32.671256927375154,24.606005908847095,0.8392251164927051,0.8392251164927051
female,소연,2022,156.0,164.0,12.41692203605683,12.518892841330667,11.83472256515483,0.9879089743868206,0.9879089743868206
female,소예,2022,132.0,135.0,10.506626338201933,10.305186180363657,9.280465896416377,1.0146245712245567,1.0146245712245567
female,소원,2022,92.0,94.0,7.322800175110439,7.175462970030992,6.726209227677924,1.013471414286278,1.013471414286278
female,소유,2022,134.0,145.0,10.665817646356508,11.068533304835041,7.662770006215358,0.9592827897289596,0.9592827897289596
female,소윤,2022,674.0,778.0,53.6474708480917,59.38840628387352,43.933214702301385,0.9025724981904002,0.9025724981904002
female,소율,2022,734.0,905.0,58.42321009272894,69.08291476466009,54.66109271100288,0.8450853011421728,0.8450853011421728
female,소은,2022,493.0,525.0,39.240657460102675,40.075724034747566,37.20700547462346,0.9779426640656141,0.9779426640656141
female,소이,2022,779.0,730.0,62.00501452620687,55.7243400864109,65.98496394241002,1.1117122036790184,0.9389724900930101
female,소현,2022,116.0,147.0,9.233095872965336,11.221202729729317,6.4707835608040805,0.8191757432072267,0.8191757432072267
female,소희,2022,166.0,201.0,13.212878576829704,15.34327720187478,14.218695455977388,0.8583538387277583,0.8583538387277583
female,솔,2022,307.0,279.0,24.435865801727225,21.29738477275156,26.053418021132217,1.1446772549355972,0.936117476337581
female,솜,2022,110.0,116.0,8.755521948501611,8.854826643868032,6.98163489455177,0.9832332844492561,0.9832332844492561
female,수민,2022,146.0,225.0,11.620965495283958,17.1753103006061,10.472452341827656,0.6746447693818935,0.6746447693818935
female,수빈,2022,265.0,356.0,21.092848330481157,27.1751576311812,20.178627683033774,0.7747557834641641,0.7747557834641641
female,수아,2022,979.0,1147.0,77.92414534166434,87.55591517686753,85.14188895794842,0.8894849758072082,0.8894849758072082
female,수연,2022,156.0,214.0,12.41692203605683,16.335628463687577,13.026709010566108,0.7577934568438522,0.7577934568438522
female,수지,2022,114.0,124.0,9.07390456481076,9.465504343445138,9.11018211850048,0.9535915530385335,0.9535915530385335
female,수진,2022,114.0,120.0,9.07390456481076,9.160165493656585,7.577628117257409,0.9852053767177502,0.9852053767177502
female,수현,2022,163.0,219.0,12.974091614597844,16.717302025923267,13.537560344313798,0.7737733592762336,0.7737733592762336
female,슬아,2022,202.0,202.0,16.07832212361205,15.419611914321917,15.66610756826251,1.039348770522587,1.0230473451378639
female,승아,2022,275.0,282.0,21.888804871254028,21.526388910092976,19.071783126580446,1.0144795295664564,1.0144795295664564
female,시아,2022,1495.0,1312.0,118.99550284554464,100.15114273064533,109.32218542200576,1.187566325120874,1.0879868806352173
female,시안,2022,136.0,86.0,10.825008954511084,6.5647852704538865,5.193655226434854,1.63648682639222,1.63648682639222
female,시연,2022,241.0,280.0,19.18255263262626,21.3737194851987,16.77295212471584,0.895388526995939,0.895388526995939
female,시온,2022,230.0,204.0,18.307000437776097,15.572281339216195,10.983303675575346,1.171851923561287,1.171851923561287
female,시우,2022,87.0,82.0,6.924821904724002,6.259446420665333,6.045074116014338,1.097532405068554,1.097532405068554
female,시윤,2022,194.0,221.0,15.441556890993752,16.869971450817545,15.751249457220458,0.9126231055341196,0.9126231055341196
female,시율,2022,86.0,89.0,6.845226250646715,6.7937894077953,5.619364671224596,1.0002099484314608,1.0002099484314608
female,시은,2022,583.0,503.0,46.404266327058544,38.39636036091052,45.97662003729214,1.2069872386213976,1.0082049537737168
female,시하,2022,163.0,158.0,12.974091614597844,12.060884566647838,10.642736119743553,1.071275309676982,1.071275309676982
female,시현,2022,219.0,259.0,17.431448242925935,19.770690523808796,18.22036423700096,0.8794571623015414,0.8794571623015414
female,아라,2022,146.0,177.0,11.620965495283958,13.511244103143463,13.367276566397903,0.8569247339622953,0.8569247339622953
female,아랑,2022,153.0,72.0,12.17813507382497,5.496099296193951,9.365607785374326,2.1958018462060895,1.2933987217205243
female,아름,2022,88.0,74.0,7.00441755880129,5.648768721088227,7.151918672467667,1.2291106906798173,0.9725765976195473
female,아리,2022,102.0,90.0,8.118756715883313,6.870124120242439,11.409013120365088,1.1732096960710123,0.7085040073350266
female,아린,2022,1418.0,1520.0,112.86663748159351,116.02876291965008,110.08846242262732,0.9723280524596907,0.9723280524596907
female,아림,2022,88.0,89.0,7.00441755880129,6.7937894077953,6.811351116635874,1.023470644906611,1.020851059759723
female,아연,2022,110.0,115.0,8.755521948501611,8.778491931420895,7.4924862282994615,0.9917347171537212,0.9917347171537212
female,아영,2022,267.0,249.0,21.252039638635733,19.007343399337415,18.901499348664547,1.1151627586967143,1.1151627586967143
female,아윤,2022,1586.0,1467.0,126.23870736657778,111.98302315995177,129.7562387719134,1.1267990794673486,0.9725164873500092
female,아율,2022,275.0,211.0,21.888804871254028,16.10662432634616,19.497492571370188,1.3547882545960146,1.119775582025952
female,아인,2022,742.0,724.0,59.05997532534723,55.266331811728065,43.507505257511646,1.0676770022705202,1.0676770022705202
female,아진,2022,272.0,246.0,21.650017909022168,18.778339261996,23.32887757447787,1.1498633845376673,0.9260503563548725
female,아현,2022,320.0,305.0,25.470609304731962,23.282087296377153,30.82136380277733,1.0916558377821115,0.8250561739821973
female,여름,2022,171.0,119.0,13.610856847216143,9.083830781209448,14.899830567640974,1.4901586391568633,0.9104355253816019
female,연서,2022,492.0,477.0,39.16106180602539,36.41165783728493,39.93154592127782,1.0740340436736837,0.9794784294517294
female,연아,2022,234.0,282.0,18.625383054085248,21.526388910092976,22.392316795940435,0.8632298542492757,0.8299224729531655
female,연우,2022,544.0,460.0,43.300035818044336,35.11396772568358,46.74289703791368,1.2313751438924856,0.9253548841603189
female,연재,2022,122.0,134.0,9.71066979742906,10.22885146791652,10.131884785995862,0.9447232336938683,0.9447232336938683
female,예나,2022,995.0,936.0,79.19767580690095,71.44929085052136,84.46075384628483,1.107670787567307,0.9371313377579409
female,예담,2022,119.0,136.0,9.471882835197198,10.381520892810796,6.726209227677924,0.9080059305374192,0.9080059305374192
female,예리,2022,83.0,87.0,6.606439288414852,6.641119982901025,6.045074116014338,0.9873443168404434,0.9873443168404434
female,예린,2022,759.0,858.0,60.41310144466112,65.49518327964458,57.81134260244698,0.9217016174462778,0.9217016174462778
female,예림,2022,95.0,137.0,7.5615871373423005,10.457855605257935,5.534222782266647,0.7196127755656085,0.7196127755656085
female,예빈,2022,221.0,270.0,17.59063955108051,20.610372360727315,17.624371014295324,0.8514192892533743,0.8514192892533743
female,예서,2022,724.0,687.0,57.62725355195606,52.44194745118396,65.64439638657822,1.09783035970513,0.877201964271791
female,예솔,2022,139.0,162.0,11.063795916742947,12.366223416436391,25.542566687384525,0.8910757760767156,0.4323050537247083
female,예슬,2022,121.0,136.0,9.631074143351773,10.381520892810796,12.686141454734313,0.9232665344119978,0.7562003121260625
female,예온,2022,157.0,161.0,12.496517690134118,12.28988870398925,12.515857676818419,1.0126929010384211,0.9944818739422602
female,예원,2022,369.0,422.0,29.37079635451904,32.21324865269232,26.564269354879908,0.9103483865090595,0.9103483865090595
female,예은,2022,442.0,500.0,35.18127910216102,38.16735622356911,34.227039361095265,0.9205576360738502,0.9205576360738502
female,예인,2022,91.0,103.0,7.243204521033151,7.862475382055235,6.726209227677924,0.9154157417614305,0.9154157417614305
female,예주,2022,139.0,136.0,11.063795916742947,10.381520892810796,9.791317230164069,1.0606119692832041,1.0606119692832041
female,예지,2022,248.0,291.0,19.73972221116727,22.21340132211722,19.071783126580446,0.8866444945030549,0.8866444945030549
female,예진,2022,261.0,279.0,20.774465714172006,21.29738477275156,18.986641237622496,0.9731620962156056,0.9731620962156056
female,온유,2022,128.0,126.0,10.188243721892785,9.618173768339414,11.068445564533294,1.0537919534769282,0.9163370601365575
female,우리,2022,104.0,105.0,8.277948024037888,8.015144806949513,9.791317230164069,1.0263855420060168,0.8411422811029416
female,우주,2022,144.0,154.0,11.461774187129382,11.755545716859285,14.984972456598923,0.9708805049783537,0.7623408835776585
female,유나,2022,1094.0,1023.0,87.0776455605524,78.0904108334224,92.80465896416379,1.1143740432358638,0.9377843452546526
female,유담,2022,144.0,142.0,11.461774187129382,10.839529167493627,9.876459119122016,1.052550024049154,1.052550024049154
female,유라,2022,136.0,148.0,10.825008954511084,11.297537442176454,8.343905117878945,0.9539522570136459,0.9539522570136459
